Var1,Var2,Var3,Var4,Var5
144.939444390386,-37.796805633868,813,3,1459.85714285714
144.937300403439,-37.799444631612,829,5,5788.78571428571
144.938287343356,-37.797265374831,841,5,6250.9
144.936970400683,-37.79703314992,848,1,887.857142857143
144.938668628284,-37.797042150743,856,8,214.214285714286
144.941454555317,-37.795903874103,862,5,4054.07142857143
144.941552511067,-37.797625479953,869,6,1257.35714285714
144.942114480552,-37.805177288376,876,7,305.857142857143
144.942114480552,-37.805177288376,886,5,3755.07142857143
144.945323673586,-37.805809995724,894,4,486.214285714286
144.945118792157,-37.805787206706,907,1,552.642857142857
144.948083309782,-37.805833743865,913,7,315.142857142857
144.945210881178,-37.806164650248,921,7,280.857142857143
144.952139385302,-37.807775982903,936,7,300.142857142857
144.942985741917,-37.80674459969,947,8,198.214285714286
144.944246194704,-37.807877334548,953,6,1039.14285714286
144.944246194704,-37.807877334548,989,4,459.357142857143
144.94593587435,-37.807827600597,1025,4,570.285714285714
144.944495417224,-37.806368129897,1044,5,3230.71428571429
144.944495417224,-37.806368129897,1054,5,5430
144.945667232671,-37.80849989785,1064,8,155.571428571429
144.94484970852,-37.80925763208,1070,4,493.071428571429
144.955584443945,-37.799704682518,1134,5,4449
144.968966949046,-37.807449174331,1141,5,5415.42857142857
144.958828073348,-37.808774116604,1224,5,3970.14285714286
144.930844309391,-37.801716372127,1234,3,3163.71428571429
144.928001787603,-37.794885263147,1263,4,482.214285714286
144.93006348172,-37.794524450885,1275,8,132.214285714286
144.93006348172,-37.794524450885,1283,8,103.714285714286
144.930478217829,-37.797832389139,1289,6,1061.14285714286
144.928290610419,-37.796994077694,1297,8,145.5
144.928764976983,-37.795960085068,1303,8,250.357142857143
144.926632701017,-37.793682134252,1321,5,3871.28571428572
144.926632701017,-37.793682134252,1334,3,2078.14285714286
144.924091092397,-37.793294950531,1347,1,726.857142857143
144.926485744922,-37.793004627483,1373,3,1645.85714285714
144.919218334104,-37.793667728392,1379,5,3529.14285714286
144.919218334104,-37.793667728392,1391,6,1822.28571428571
144.919910240657,-37.791282594337,1403,5,3400.42857142857
144.918876275816,-37.795107113955,1412,2,69.2142857142857
144.918876275816,-37.795107113955,1427,3,1474.92857142857
144.923281545848,-37.796549125948,1442,5,5899.57142857143
144.988559723767,-37.813228748781,1455,6,1004.21428571429
144.988188437703,-37.813369169165,1462,4,481.285714285714
144.983315179678,-37.812827421865,1474,7,299.857142857143
144.98168740524,-37.8185367363,1490,6,1089.28571428571
144.980032278612,-37.816938298082,1496,2,68.2857142857143
144.981133295906,-37.817578830888,1504,8,226.428571428571
144.970949364976,-37.826196197847,1510,4,513.428571428571
144.970949364976,-37.826196197847,1516,7,277.857142857143
144.970372089834,-37.829553895463,1522,5,7194.71428571428
144.969246403538,-37.826156736439,1534,4,417.857142857143
